"entity";"Behavior";"Genotype";"Treatment";"AVG";"MIN";"MAX"
"AcetylH3K9_N";"C/S";"Control";"Memantine";0.180259;0.0606134;0.351831
"AcetylH3K9_N";"C/S";"Control";"Saline";0.15035;0.0661505;0.353431
"AcetylH3K9_N";"C/S";"Ts65Dn";"Memantine";0.197237;0.0594957;0.387599
"AcetylH3K9_N";"C/S";"Ts65Dn";"Saline";0.217962;0.053854;0.519547
"AcetylH3K9_N";"S/C";"Control";"Memantine";0.134841;0.0736805;0.2061
"AcetylH3K9_N";"S/C";"Control";"Saline";0.0997823;0.0525284;0.15885
"AcetylH3K9_N";"S/C";"Ts65Dn";"Memantine";0.345991;0.0545852;1.00368
"AcetylH3K9_N";"S/C";"Ts65Dn";"Saline";0.300546;0.167228;0.58718
"ADARB1_N";"C/S";"Control";"Memantine";1.27031;0.669598;2.18245
"ADARB1_N";"C/S";"Control";"Saline";1.38837;0.854783;2.46755
"ADARB1_N";"C/S";"Ts65Dn";"Memantine";1.13932;0.529108;2.2875
"ADARB1_N";"C/S";"Ts65Dn";"Saline";1.26741;0.538934;2.40476
"ADARB1_N";"S/C";"Control";"Memantine";0.999335;0.684393;1.59785
"ADARB1_N";"S/C";"Control";"Saline";1.12118;0.835352;1.74425
"ADARB1_N";"S/C";"Ts65Dn";"Memantine";1.23878;0.929535;1.65783
"ADARB1_N";"S/C";"Ts65Dn";"Saline";1.11712;0.735202;2.29149
"AKT_N";"C/S";"Control";"Memantine";0.636314;0.420233;0.873228
"AKT_N";"C/S";"Control";"Saline";0.643079;0.334501;1.18217
"AKT_N";"C/S";"Ts65Dn";"Memantine";0.605352;0.361121;0.919555
"AKT_N";"C/S";"Ts65Dn";"Saline";0.63604;0.494251;0.87809
"AKT_N";"S/C";"Control";"Memantine";0.640441;0.334911;0.765955
"AKT_N";"S/C";"Control";"Saline";0.817059;0.64794;0.94933
"AKT_N";"S/C";"Ts65Dn";"Memantine";0.761647;0.594842;0.995973
"AKT_N";"S/C";"Ts65Dn";"Saline";0.695088;0.444811;0.904826
"AMPKA_N";"C/S";"Control";"Memantine";0.360928;0.251639;0.456743
"AMPKA_N";"C/S";"Control";"Saline";0.388027;0.27123;0.700839
"AMPKA_N";"C/S";"Ts65Dn";"Memantine";0.345318;0.27757;0.48267
"AMPKA_N";"C/S";"Ts65Dn";"Saline";0.325877;0.253148;0.466144
"AMPKA_N";"S/C";"Control";"Memantine";0.36251;0.285211;0.468065
"AMPKA_N";"S/C";"Control";"Saline";0.380206;0.252128;0.456934
"AMPKA_N";"S/C";"Ts65Dn";"Memantine";0.36934;0.306152;0.466367
"AMPKA_N";"S/C";"Ts65Dn";"Saline";0.355541;0.234679;0.546558
"APP_N";"C/S";"Control";"Memantine";0.389432;0.31513;0.483581
"APP_N";"C/S";"Control";"Saline";0.370857;0.263322;0.543414
"APP_N";"C/S";"Ts65Dn";"Memantine";0.438922;0.302079;0.560173
"APP_N";"C/S";"Ts65Dn";"Saline";0.446731;0.344335;0.572897
"APP_N";"S/C";"Control";"Memantine";0.362081;0.235595;0.462289
"APP_N";"S/C";"Control";"Saline";0.362697;0.255363;0.439102
"APP_N";"S/C";"Ts65Dn";"Memantine";0.426789;0.321888;0.512051
"APP_N";"S/C";"Ts65Dn";"Saline";0.437129;0.287502;0.573526
"ARC_N";"C/S";"Control";"Memantine";0.110668;0.0672543;0.139008
"ARC_N";"C/S";"Control";"Saline";0.114075;0.093705;0.140973
"ARC_N";"C/S";"Ts65Dn";"Memantine";0.106838;0.0902428;0.120738
"ARC_N";"C/S";"Ts65Dn";"Saline";0.109861;0.0837982;0.130925
"ARC_N";"S/C";"Control";"Memantine";0.126837;0.113991;0.145596
"ARC_N";"S/C";"Control";"Saline";0.131636;0.115571;0.153798
"ARC_N";"S/C";"Ts65Dn";"Memantine";0.139394;0.125589;0.151651
"ARC_N";"S/C";"Ts65Dn";"Saline";0.121657;0.0987304;0.149004
"BAD_N";"C/S";"Control";"Memantine";0.144684;0.1071;0.200276
"BAD_N";"C/S";"Control";"Saline";0.144133;0.116319;0.213197
"BAD_N";"C/S";"Ts65Dn";"Memantine";0.155418;0.112634;0.242495
"BAD_N";"C/S";"Ts65Dn";"Saline";0.143866;0.0883046;0.204471
"BAD_N";"S/C";"Control";"Memantine";0.166829;0.123042;0.266193
"BAD_N";"S/C";"Control";"Saline";0.148608;0.118197;0.198393
"BAD_N";"S/C";"Ts65Dn";"Memantine";0.150413;0.118756;0.234898
"BAD_N";"S/C";"Ts65Dn";"Saline";0.1749;0.140188;0.236394
"BAX_N";"C/S";"Control";"Memantine";0.165411;0.0723255;0.196124
"BAX_N";"C/S";"Control";"Saline";0.191661;0.151578;0.223786
"BAX_N";"C/S";"Ts65Dn";"Memantine";0.174682;0.123708;0.2076
"BAX_N";"C/S";"Ts65Dn";"Saline";0.181998;0.112035;0.219887
"BAX_N";"S/C";"Control";"Memantine";0.172493;0.141765;0.194599
"BAX_N";"S/C";"Control";"Saline";0.176412;0.133682;0.212763
"BAX_N";"S/C";"Ts65Dn";"Memantine";0.18136;0.143971;0.217602
"BAX_N";"S/C";"Ts65Dn";"Saline";0.184575;0.156824;0.212204
"Bcatenin_N";"C/S";"Control";"Memantine";2.16706;1.45014;3.03762
"Bcatenin_N";"C/S";"Control";"Saline";2.18129;1.35176;3.68055
"Bcatenin_N";"C/S";"Ts65Dn";"Memantine";2.09714;1.24937;3.25319
"Bcatenin_N";"C/S";"Ts65Dn";"Saline";2.02026;1.38825;2.76117
"Bcatenin_N";"S/C";"Control";"Memantine";1.94853;1.18502;2.71732
"Bcatenin_N";"S/C";"Control";"Saline";2.32248;1.52488;3.29144
"Bcatenin_N";"S/C";"Ts65Dn";"Memantine";2.24637;1.4803;3.05478
"Bcatenin_N";"S/C";"Ts65Dn";"Saline";2.24132;1.13489;3.26639
"BDNF_N";"C/S";"Control";"Memantine";0.331435;0.215843;0.447825
"BDNF_N";"C/S";"Control";"Saline";0.326468;0.204932;0.49716
"BDNF_N";"C/S";"Ts65Dn";"Memantine";0.323266;0.213702;0.466673
"BDNF_N";"C/S";"Ts65Dn";"Saline";0.306503;0.239984;0.464848
"BDNF_N";"S/C";"Control";"Memantine";0.273988;0.115181;0.346354
"BDNF_N";"S/C";"Control";"Saline";0.316757;0.227292;0.417221
"BDNF_N";"S/C";"Ts65Dn";"Memantine";0.312211;0.262756;0.383583
"BDNF_N";"S/C";"Ts65Dn";"Saline";0.324802;0.19416;0.443358
"BRAF_N";"C/S";"Control";"Memantine";0.421799;0.207642;0.720703
"BRAF_N";"C/S";"Control";"Saline";0.320616;0.201549;0.661618
"BRAF_N";"C/S";"Ts65Dn";"Memantine";0.562977;0.375988;0.814083
"BRAF_N";"C/S";"Ts65Dn";"Saline";0.438892;0.293336;0.823995
"BRAF_N";"S/C";"Control";"Memantine";0.232238;0.143894;0.363693
"BRAF_N";"S/C";"Control";"Saline";0.273946;0.219641;0.371714
"BRAF_N";"S/C";"Ts65Dn";"Memantine";0.287459;0.231198;0.374429
"BRAF_N";"S/C";"Ts65Dn";"Saline";0.289851;0.193986;0.430632
"CAMKII_N";"C/S";"Control";"Memantine";0.333554;0.255106;0.392129
"CAMKII_N";"C/S";"Control";"Saline";0.335323;0.23767;0.510955
"CAMKII_N";"C/S";"Ts65Dn";"Memantine";0.337557;0.21296;0.45474
"CAMKII_N";"C/S";"Ts65Dn";"Saline";0.338813;0.296376;0.435659
"CAMKII_N";"S/C";"Control";"Memantine";0.327375;0.235275;0.416341
"CAMKII_N";"S/C";"Control";"Saline";0.3819;0.31001;0.461977
"CAMKII_N";"S/C";"Ts65Dn";"Memantine";0.389374;0.311375;0.514031
"CAMKII_N";"S/C";"Ts65Dn";"Saline";0.35145;0.2324;0.489806
"CaNA_N";"C/S";"Control";"Memantine";1.5017;0.788462;1.92643
"CaNA_N";"C/S";"Control";"Saline";1.68391;1.00455;2.12979
"CaNA_N";"C/S";"Ts65Dn";"Memantine";1.63079;1.10255;2.0648
"CaNA_N";"C/S";"Ts65Dn";"Saline";1.59001;0.944997;1.91958
"CaNA_N";"S/C";"Control";"Memantine";0.980867;0.848214;1.13528
"CaNA_N";"S/C";"Control";"Saline";1.16384;0.870125;1.46262
"CaNA_N";"S/C";"Ts65Dn";"Memantine";1.10333;0.795637;1.31728
